task_id,result_return_code,model_name
1,0,CodeLlama-7b-instruct-hf
5,0,CodeLlama-7b-instruct-hf
6,1,CodeLlama-7b-instruct-hf
8,0,CodeLlama-7b-instruct-hf
9,0,CodeLlama-7b-instruct-hf
11,0,CodeLlama-7b-instruct-hf
12,1,CodeLlama-7b-instruct-hf
13,0,CodeLlama-7b-instruct-hf
17,0,CodeLlama-7b-instruct-hf
18,1,CodeLlama-7b-instruct-hf
19,1,CodeLlama-7b-instruct-hf
20,1,CodeLlama-7b-instruct-hf
21,0,CodeLlama-7b-instruct-hf
22,1,CodeLlama-7b-instruct-hf
23,0,CodeLlama-7b-instruct-hf
24,0,CodeLlama-7b-instruct-hf
25,1,CodeLlama-7b-instruct-hf
26,0,CodeLlama-7b-instruct-hf
27,0,CodeLlama-7b-instruct-hf
28,1,CodeLlama-7b-instruct-hf
31,1,CodeLlama-7b-instruct-hf
33,1,CodeLlama-7b-instruct-hf
35,1,CodeLlama-7b-instruct-hf
36,0,CodeLlama-7b-instruct-hf
37,1,CodeLlama-7b-instruct-hf
41,0,CodeLlama-7b-instruct-hf
42,0,CodeLlama-7b-instruct-hf
43,1,CodeLlama-7b-instruct-hf
44,0,CodeLlama-7b-instruct-hf
45,1,CodeLlama-7b-instruct-hf
46,1,CodeLlama-7b-instruct-hf
47,0,CodeLlama-7b-instruct-hf
51,1,CodeLlama-7b-instruct-hf
52,0,CodeLlama-7b-instruct-hf
53,0,CodeLlama-7b-instruct-hf
54,1,CodeLlama-7b-instruct-hf
55,1,CodeLlama-7b-instruct-hf
56,1,CodeLlama-7b-instruct-hf
58,0,CodeLlama-7b-instruct-hf
59,1,CodeLlama-7b-instruct-hf
60,1,CodeLlama-7b-instruct-hf
62,0,CodeLlama-7b-instruct-hf
63,1,CodeLlama-7b-instruct-hf
64,1,CodeLlama-7b-instruct-hf
65,0,CodeLlama-7b-instruct-hf
66,0,CodeLlama-7b-instruct-hf
67,1,CodeLlama-7b-instruct-hf
68,1,CodeLlama-7b-instruct-hf
70,1,CodeLlama-7b-instruct-hf
71,1,CodeLlama-7b-instruct-hf
72,0,CodeLlama-7b-instruct-hf
73,1,CodeLlama-7b-instruct-hf
74,1,CodeLlama-7b-instruct-hf
75,1,CodeLlama-7b-instruct-hf
76,0,CodeLlama-7b-instruct-hf
77,1,CodeLlama-7b-instruct-hf
78,1,CodeLlama-7b-instruct-hf
79,1,CodeLlama-7b-instruct-hf
80,1,CodeLlama-7b-instruct-hf
81,0,CodeLlama-7b-instruct-hf
82,1,CodeLlama-7b-instruct-hf
83,0,CodeLlama-7b-instruct-hf
84,1,CodeLlama-7b-instruct-hf
85,0,CodeLlama-7b-instruct-hf
86,1,CodeLlama-7b-instruct-hf
213,0,CodeLlama-7b-instruct-hf
214,0,CodeLlama-7b-instruct-hf
215,0,CodeLlama-7b-instruct-hf
216,1,CodeLlama-7b-instruct-hf
219,1,CodeLlama-7b-instruct-hf
220,0,CodeLlama-7b-instruct-hf
221,1,CodeLlama-7b-instruct-hf
224,1,CodeLlama-7b-instruct-hf
226,1,CodeLlama-7b-instruct-hf
227,1,CodeLlama-7b-instruct-hf
229,1,CodeLlama-7b-instruct-hf
230,1,CodeLlama-7b-instruct-hf
231,1,CodeLlama-7b-instruct-hf
232,1,CodeLlama-7b-instruct-hf
233,0,CodeLlama-7b-instruct-hf
234,0,CodeLlama-7b-instruct-hf
235,0,CodeLlama-7b-instruct-hf
240,0,CodeLlama-7b-instruct-hf
241,0,CodeLlama-7b-instruct-hf
242,1,CodeLlama-7b-instruct-hf
244,1,CodeLlama-7b-instruct-hf
248,0,CodeLlama-7b-instruct-hf
249,1,CodeLlama-7b-instruct-hf
250,1,CodeLlama-7b-instruct-hf
252,1,CodeLlama-7b-instruct-hf
253,1,CodeLlama-7b-instruct-hf
255,0,CodeLlama-7b-instruct-hf
