,task_id,pass_3
0,1,1.0
1,5,0.0
2,6,0.0
3,8,1.0
4,9,1.0
5,11,0.8333333333333334
6,12,0.0
7,13,0.8333333333333334
8,17,0.0
9,18,1.0
10,19,0.0
11,20,0.0
12,21,0.8333333333333334
13,22,1.0
14,23,0.8333333333333334
15,24,1.0
16,25,1.0
17,26,1.0
18,27,0.8333333333333334
19,28,1.0
20,31,0.0
21,33,0.0
22,35,0.0
23,36,1.0
24,37,0.0
25,41,0.0
26,42,0.0
27,43,1.0
28,44,1.0
29,45,0.0
30,46,0.0
31,47,0.0
32,51,0.0
33,52,0.0
34,53,1.0
35,54,1.0
36,55,1.0
37,56,1.0
38,57,0.0
39,58,1.0
40,59,0.0
41,60,0.0
42,62,0.0
43,63,0.0
44,64,0.0
45,65,0.0
46,66,0.0
47,67,0.0
48,68,0.0
49,70,0.0
50,71,0.0
51,72,1.0
52,73,0.0
53,74,1.0
54,75,0.0
55,76,1.0
56,77,0.0
57,78,1.0
58,79,0.0
59,80,0.0
60,81,1.0
61,82,0.0
62,83,1.0
63,84,0.0
64,85,0.0
65,86,0.0
66,213,0.0
67,214,0.0
68,215,1.0
69,216,0.0
70,219,0.0
71,220,0.0
72,221,0.0
73,224,1.0
74,226,1.0
75,227,0.0
76,229,0.0
77,230,0.0
78,231,1.0
79,232,0.0
80,233,0.0
81,234,1.0
82,235,0.0
83,240,0.0
84,241,0.0
85,242,1.0
86,244,0.0
87,248,1.0
88,249,0.0
89,250,0.0
90,252,0.0
91,253,0.0
92,255,0.0
93,256,0.0
94,258,0.0
95,259,1.0
96,260,0.0
97,262,1.0
98,263,0.0
99,264,0.0
100,266,0.0
101,267,0.0
102,268,0.0
103,269,0.0
104,281,1.0
105,282,0.0
106,286,0.0
107,290,0.0
108,291,1.0
109,366,0.0
110,369,0.0
111,370,0.0
112,380,0.0
113,381,0.0
114,386,1.0
115,390,0.0
116,392,0.0
117,395,0.0
118,396,1.0
119,398,1.0
120,401,0.0
121,404,0.0
122,405,0.0
123,406,0.0
124,410,0.0
125,413,0.0
126,414,0.0
127,420,0.0
128,423,0.0
129,424,1.0
130,427,0.0
131,428,0.0
132,430,1.0
133,431,0.0
134,433,0.0
135,438,1.0
136,442,1.0
137,443,0.0
138,444,0.0
139,445,0.0
140,451,0.0
141,460,0.0
142,461,1.0
143,463,0.0
144,465,1.0
145,468,1.0
146,469,1.0
147,470,0.0
148,471,1.0
149,474,0.0
150,475,0.0
151,476,0.0
152,477,1.0
153,478,0.0
154,482,0.0
155,483,0.0
156,485,0.0
157,486,0.0
158,487,1.0
159,488,0.0
160,490,0.0
161,491,0.0
162,492,0.0
163,493,0.0
164,494,0.0
165,495,0.0
166,496,0.0
167,498,1.0
168,499,0.0
169,500,1.0
170,501,1.0
171,505,1.0
172,506,0.0
173,507,1.0
174,509,1.0
175,510,0.0
176,511,1.0
177,512,0.0
178,513,1.0
179,514,1.0
180,515,1.0
181,516,1.0
182,517,1.0
183,518,0.0
184,519,1.0
185,520,1.0
186,521,0.0
187,522,1.0
188,523,1.0
189,524,1.0
190,525,1.0
191,526,0.0
192,527,0.0
193,546,1.0
194,547,1.0
195,548,1.0
196,550,0.0
197,551,1.0
198,552,0.0
199,555,0.0
200,557,1.0
201,558,1.0
202,87,0.0
203,88,0.0
204,89,0.0
205,92,0.0
206,93,1.0
207,95,1.0
208,96,0.0
209,97,0.0
210,99,1.0
211,100,0.0
212,101,1.0
213,103,0.0
214,106,0.0
215,107,0.0
216,108,0.0
217,109,0.0
218,110,0.0
219,112,0.0
220,114,0.0
221,115,1.0
222,116,1.0
223,117,0.0
224,118,0.0
225,120,0.0
226,121,0.0
227,122,0.0
228,123,0.0
229,124,0.0
230,125,0.0
231,127,0.0
232,129,0.0
233,130,0.0
234,133,0.0
235,134,0.0
236,135,1.0
237,138,0.0
238,139,0.0
239,292,0.0
240,293,1.0
241,298,0.0
242,299,0.0
243,305,0.0
244,306,0.0
245,308,0.0
246,313,0.0
247,315,0.0
248,317,0.0
249,318,1.0
250,319,1.0
251,320,0.0
252,322,0.0
253,323,0.0
254,326,0.0
255,447,1.0
256,450,0.0
257,528,0.0
258,529,0.0
259,530,1.0
260,532,1.0
261,533,0.0
262,534,0.0
263,535,0.0
264,536,0.0
265,537,0.0
266,540,1.0
267,541,0.0
268,542,1.0
269,543,1.0
270,544,1.0
271,545,0.0
272,559,1.0
273,560,1.0
274,140,0.0
275,142,0.0
276,143,1.0
277,144,1.0
278,145,0.0
279,146,0.0
280,150,0.0
281,151,1.0
282,153,0.0
283,154,0.0
284,155,0.0
285,156,1.0
286,157,0.0
287,158,1.0
288,159,1.0
289,160,0.0
290,161,0.0
291,162,1.0
292,165,0.0
293,166,0.0
294,167,1.0
295,168,0.0
296,169,1.0
297,331,1.0
298,334,0.0
299,341,1.0
300,342,0.0
301,565,0.0
302,566,0.0
303,567,0.0
304,569,1.0
305,571,0.0
