task_id,result_return_code,model_name
1,0,codegeex4-all-9b
5,0,codegeex4-all-9b
6,0,codegeex4-all-9b
8,0,codegeex4-all-9b
9,0,codegeex4-all-9b
11,0,codegeex4-all-9b
12,0,codegeex4-all-9b
13,1,codegeex4-all-9b
17,0,codegeex4-all-9b
19,1,codegeex4-all-9b
20,0,codegeex4-all-9b
21,0,codegeex4-all-9b
22,1,codegeex4-all-9b
23,0,codegeex4-all-9b
24,1,codegeex4-all-9b
25,1,codegeex4-all-9b
26,0,codegeex4-all-9b
27,1,codegeex4-all-9b
31,1,codegeex4-all-9b
35,1,codegeex4-all-9b
36,0,codegeex4-all-9b
37,1,codegeex4-all-9b
41,1,codegeex4-all-9b
42,0,codegeex4-all-9b
43,0,codegeex4-all-9b
44,0,codegeex4-all-9b
45,1,codegeex4-all-9b
46,0,codegeex4-all-9b
47,0,codegeex4-all-9b
52,0,codegeex4-all-9b
54,1,codegeex4-all-9b
55,0,codegeex4-all-9b
56,0,codegeex4-all-9b
57,1,codegeex4-all-9b
58,1,codegeex4-all-9b
59,1,codegeex4-all-9b
60,1,codegeex4-all-9b
62,0,codegeex4-all-9b
64,1,codegeex4-all-9b
65,0,codegeex4-all-9b
67,1,codegeex4-all-9b
68,0,codegeex4-all-9b
70,1,codegeex4-all-9b
71,1,codegeex4-all-9b
72,1,codegeex4-all-9b
73,0,codegeex4-all-9b
74,1,codegeex4-all-9b
75,1,codegeex4-all-9b
76,0,codegeex4-all-9b
77,1,codegeex4-all-9b
78,1,codegeex4-all-9b
79,0,codegeex4-all-9b
80,1,codegeex4-all-9b
81,0,codegeex4-all-9b
83,0,codegeex4-all-9b
84,0,codegeex4-all-9b
86,0,codegeex4-all-9b
214,1,codegeex4-all-9b
215,1,codegeex4-all-9b
219,1,codegeex4-all-9b
220,0,codegeex4-all-9b
224,1,codegeex4-all-9b
226,1,codegeex4-all-9b
227,1,codegeex4-all-9b
229,1,codegeex4-all-9b
230,0,codegeex4-all-9b
231,0,codegeex4-all-9b
232,0,codegeex4-all-9b
233,0,codegeex4-all-9b
234,1,codegeex4-all-9b
235,0,codegeex4-all-9b
240,1,codegeex4-all-9b
241,1,codegeex4-all-9b
242,0,codegeex4-all-9b
248,1,codegeex4-all-9b
249,1,codegeex4-all-9b
250,1,codegeex4-all-9b
253,1,codegeex4-all-9b
255,1,codegeex4-all-9b
256,1,codegeex4-all-9b
258,1,codegeex4-all-9b
259,0,codegeex4-all-9b
260,1,codegeex4-all-9b
262,1,codegeex4-all-9b
263,0,codegeex4-all-9b
264,1,codegeex4-all-9b
266,1,codegeex4-all-9b
267,0,codegeex4-all-9b
268,0,codegeex4-all-9b
269,0,codegeex4-all-9b
281,0,codegeex4-all-9b
282,0,codegeex4-all-9b
286,0,codegeex4-all-9b
291,1,codegeex4-all-9b
366,1,codegeex4-all-9b
369,0,codegeex4-all-9b
370,0,codegeex4-all-9b
380,0,codegeex4-all-9b
381,0,codegeex4-all-9b
386,0,codegeex4-all-9b
390,1,codegeex4-all-9b
392,0,codegeex4-all-9b
395,0,codegeex4-all-9b
396,0,codegeex4-all-9b
401,1,codegeex4-all-9b
404,1,codegeex4-all-9b
405,0,codegeex4-all-9b
406,1,codegeex4-all-9b
410,1,codegeex4-all-9b
413,1,codegeex4-all-9b
414,1,codegeex4-all-9b
420,1,codegeex4-all-9b
423,1,codegeex4-all-9b
424,1,codegeex4-all-9b
427,1,codegeex4-all-9b
430,0,codegeex4-all-9b
431,0,codegeex4-all-9b
442,0,codegeex4-all-9b
443,1,codegeex4-all-9b
444,1,codegeex4-all-9b
445,1,codegeex4-all-9b
451,1,codegeex4-all-9b
460,0,codegeex4-all-9b
462,0,codegeex4-all-9b
465,1,codegeex4-all-9b
468,1,codegeex4-all-9b
470,1,codegeex4-all-9b
471,1,codegeex4-all-9b
474,1,codegeex4-all-9b
475,0,codegeex4-all-9b
476,0,codegeex4-all-9b
482,1,codegeex4-all-9b
483,1,codegeex4-all-9b
485,0,codegeex4-all-9b
486,1,codegeex4-all-9b
487,0,codegeex4-all-9b
488,1,codegeex4-all-9b
490,1,codegeex4-all-9b
492,1,codegeex4-all-9b
493,1,codegeex4-all-9b
494,0,codegeex4-all-9b
495,0,codegeex4-all-9b
496,0,codegeex4-all-9b
498,1,codegeex4-all-9b
499,1,codegeex4-all-9b
500,0,codegeex4-all-9b
501,0,codegeex4-all-9b
505,1,codegeex4-all-9b
506,1,codegeex4-all-9b
507,0,codegeex4-all-9b
509,1,codegeex4-all-9b
510,0,codegeex4-all-9b
511,0,codegeex4-all-9b
512,1,codegeex4-all-9b
513,0,codegeex4-all-9b
514,0,codegeex4-all-9b
515,0,codegeex4-all-9b
516,1,codegeex4-all-9b
517,1,codegeex4-all-9b
518,1,codegeex4-all-9b
