task_id,result_return_code,model_namee
1,0,codegeex4-all-9b
5,0,codegeex4-all-9b
6,1,codegeex4-all-9b
8,0,codegeex4-all-9b
9,0,codegeex4-all-9b
11,0,codegeex4-all-9b
12,0,codegeex4-all-9b
13,1,codegeex4-all-9b
17,1,codegeex4-all-9b
18,0,codegeex4-all-9b
19,0,codegeex4-all-9b
20,1,codegeex4-all-9b
21,1,codegeex4-all-9b
22,1,codegeex4-all-9b
23,1,codegeex4-all-9b
24,0,codegeex4-all-9b
25,0,codegeex4-all-9b
26,0,codegeex4-all-9b
27,0,codegeex4-all-9b
28,0,codegeex4-all-9b
31,0,codegeex4-all-9b
33,0,codegeex4-all-9b
35,0,codegeex4-all-9b
36,0,codegeex4-all-9b
37,1,codegeex4-all-9b
41,0,codegeex4-all-9b
42,0,codegeex4-all-9b
43,0,codegeex4-all-9b
44,0,codegeex4-all-9b
45,1,codegeex4-all-9b
46,0,codegeex4-all-9b
47,1,codegeex4-all-9b
51,1,codegeex4-all-9b
52,0,codegeex4-all-9b
53,0,codegeex4-all-9b
54,1,codegeex4-all-9b
55,1,codegeex4-all-9b
56,1,codegeex4-all-9b
57,1,codegeex4-all-9b
58,0,codegeex4-all-9b
59,1,codegeex4-all-9b
60,0,codegeex4-all-9b
62,1,codegeex4-all-9b
63,1,codegeex4-all-9b
64,0,codegeex4-all-9b
65,0,codegeex4-all-9b
66,0,codegeex4-all-9b
67,1,codegeex4-all-9b
68,1,codegeex4-all-9b
70,1,codegeex4-all-9b
71,1,codegeex4-all-9b
72,0,codegeex4-all-9b
73,0,codegeex4-all-9b
74,1,codegeex4-all-9b
75,1,codegeex4-all-9b
76,1,codegeex4-all-9b
77,1,codegeex4-all-9b
78,1,codegeex4-all-9b
79,0,codegeex4-all-9b
80,1,codegeex4-all-9b
81,0,codegeex4-all-9b
82,0,codegeex4-all-9b
83,0,codegeex4-all-9b
84,0,codegeex4-all-9b
85,1,codegeex4-all-9b
86,0,codegeex4-all-9b
213,0,codegeex4-all-9b
214,1,codegeex4-all-9b
215,0,codegeex4-all-9b
216,0,codegeex4-all-9b
219,1,codegeex4-all-9b
220,0,codegeex4-all-9b
221,1,codegeex4-all-9b
224,1,codegeex4-all-9b
226,1,codegeex4-all-9b
227,0,codegeex4-all-9b
229,1,codegeex4-all-9b
230,0,codegeex4-all-9b
231,0,codegeex4-all-9b
232,1,codegeex4-all-9b
233,0,codegeex4-all-9b
234,0,codegeex4-all-9b
235,1,codegeex4-all-9b
240,0,codegeex4-all-9b
241,0,codegeex4-all-9b
242,0,codegeex4-all-9b
244,1,codegeex4-all-9b
248,0,codegeex4-all-9b
249,1,codegeex4-all-9b
250,1,codegeex4-all-9b
252,1,codegeex4-all-9b
253,1,codegeex4-all-9b
255,0,codegeex4-all-9b
256,0,codegeex4-all-9b
258,1,codegeex4-all-9b
259,0,codegeex4-all-9b
260,0,codegeex4-all-9b
262,0,codegeex4-all-9b
263,0,codegeex4-all-9b
264,1,codegeex4-all-9b
266,0,codegeex4-all-9b
267,0,codegeex4-all-9b
268,0,codegeex4-all-9b
269,0,codegeex4-all-9b
281,0,codegeex4-all-9b
282,0,codegeex4-all-9b
286,0,codegeex4-all-9b
290,1,codegeex4-all-9b
291,0,codegeex4-all-9b
366,0,codegeex4-all-9b
369,1,codegeex4-all-9b
370,1,codegeex4-all-9b
380,0,codegeex4-all-9b
381,0,codegeex4-all-9b
386,0,codegeex4-all-9b
390,1,codegeex4-all-9b
392,0,codegeex4-all-9b
395,0,codegeex4-all-9b
396,0,codegeex4-all-9b
398,0,codegeex4-all-9b
401,0,codegeex4-all-9b
404,0,codegeex4-all-9b
405,1,codegeex4-all-9b
406,1,codegeex4-all-9b
410,1,codegeex4-all-9b
412,1,codegeex4-all-9b
413,1,codegeex4-all-9b
414,0,codegeex4-all-9b
420,1,codegeex4-all-9b
423,1,codegeex4-all-9b
424,0,codegeex4-all-9b
427,1,codegeex4-all-9b
428,0,codegeex4-all-9b
430,0,codegeex4-all-9b
431,0,codegeex4-all-9b
433,1,codegeex4-all-9b
438,0,codegeex4-all-9b
442,0,codegeex4-all-9b
443,0,codegeex4-all-9b
444,0,codegeex4-all-9b
445,0,codegeex4-all-9b
451,1,codegeex4-all-9b
460,0,codegeex4-all-9b
461,0,codegeex4-all-9b
462,0,codegeex4-all-9b
463,1,codegeex4-all-9b
465,0,codegeex4-all-9b
468,0,codegeex4-all-9b
469,0,codegeex4-all-9b
470,1,codegeex4-all-9b
471,1,codegeex4-all-9b
474,1,codegeex4-all-9b
475,0,codegeex4-all-9b
476,0,codegeex4-all-9b
477,1,codegeex4-all-9b
478,1,codegeex4-all-9b
482,1,codegeex4-all-9b
483,0,codegeex4-all-9b
485,1,codegeex4-all-9b
486,0,codegeex4-all-9b
