,task_id,pass_3
0,1,1.0
1,5,1.0
2,6,0.4035087719298246
3,8,0.8947368421052632
4,9,0.8947368421052632
5,11,1.0
6,12,0.9263157894736842
7,13,0.4035087719298246
8,17,0.0
9,18,0.9824561403508772
10,19,0.0
11,20,0.0
12,21,0.5087719298245614
13,22,0.0
14,23,0.0
15,24,0.15000000000000002
16,25,0.4035087719298246
17,26,1.0
18,27,1.0
19,28,0.2842105263157896
20,31,0.2842105263157896
21,33,1.0
22,35,0.0
23,36,1.0
24,37,0.0
25,41,0.8947368421052632
26,42,0.0
27,43,0.0
28,44,0.0
29,45,0.0
30,46,0.0
31,47,0.0
32,51,0.0
33,52,1.0
34,53,1.0
35,54,0.0
36,55,0.0
37,56,1.0
38,57,0.0
39,58,1.0
40,59,0.0
41,60,0.0
42,62,1.0
43,63,0.0
44,64,0.0
45,65,0.0
46,67,0.0
47,68,1.0
48,70,0.0
49,71,0.0
50,72,1.0
51,73,1.0
52,74,0.0
53,75,0.0
54,76,1.0
55,77,0.0
56,78,1.0
57,79,0.0
58,80,0.0
59,81,1.0
60,82,0.0
61,83,0.0
62,84,0.0
63,85,0.0
64,86,0.0
65,213,1.0
66,214,0.0
67,215,1.0
68,216,0.0
69,219,1.0
70,220,1.0
71,221,0.0
72,224,1.0
73,226,1.0
74,227,0.0
75,229,0.0
76,230,1.0
77,231,1.0
78,232,0.0
79,233,1.0
80,234,1.0
81,235,1.0
82,240,0.0
83,241,0.0
84,242,0.0
85,244,0.0
86,248,1.0
87,249,0.0
88,250,0.0
89,252,0.0
90,253,0.0
91,255,1.0
92,256,0.0
93,258,0.0
94,259,1.0
95,260,0.0
96,262,1.0
97,263,1.0
98,264,0.0
99,266,0.0
100,267,0.0
101,268,1.0
102,269,1.0
103,281,1.0
104,282,1.0
105,286,0.0
106,290,0.0
107,291,1.0
108,366,0.0
109,369,0.0
110,370,0.0
111,380,1.0
112,381,0.0
113,386,1.0
114,390,0.0
115,392,1.0
116,395,0.0
117,396,0.0
118,398,0.0
119,401,1.0
120,404,1.0
121,405,0.0
122,406,0.0
123,410,0.0
124,413,0.0
125,414,0.0
126,420,0.0
127,423,1.0
128,424,1.0
129,427,0.0
130,428,0.0
131,430,1.0
132,431,1.0
133,433,0.0
134,438,1.0
135,442,1.0
136,443,0.0
137,444,0.0
138,445,0.0
139,451,1.0
140,460,1.0
141,461,1.0
142,462,1.0
143,463,1.0
144,465,0.0
145,468,1.0
146,469,0.0
147,470,0.0
148,471,1.0
149,474,0.0
150,475,0.0
151,476,0.0
152,477,0.0
153,478,1.0
154,482,0.0
155,483,0.0
156,485,0.0
157,486,1.0
158,487,1.0
159,488,0.0
160,490,0.0
161,491,0.0
162,492,0.0
163,493,0.0
164,494,0.0
165,495,0.0
166,496,1.0
167,498,1.0
168,499,0.0
169,500,0.0
170,501,1.0
171,505,0.0
172,507,1.0
173,509,1.0
174,510,1.0
175,511,1.0
176,512,0.0
177,513,1.0
178,514,1.0
179,515,1.0
180,516,0.0
181,517,1.0
182,518,0.0
183,519,1.0
184,520,1.0
185,521,0.0
186,522,1.0
187,523,1.0
188,524,1.0
189,525,0.0
190,526,1.0
191,527,0.0
192,546,1.0
193,547,1.0
194,548,1.0
195,549,0.0
196,550,0.0
197,551,1.0
198,552,0.0
199,555,0.0
200,557,1.0
201,558,1.0
202,87,0.0
203,88,0.0
204,89,1.0
205,92,1.0
206,93,1.0
207,95,1.0
208,96,0.0
209,97,1.0
210,99,1.0
211,100,0.0
212,101,1.0
213,103,0.0
214,106,0.0
215,107,1.0
216,108,0.0
217,109,1.0
218,110,0.0
219,112,0.0
220,114,0.0
221,115,1.0
222,116,0.0
223,117,0.0
224,118,0.0
225,120,1.0
226,121,1.0
227,122,0.0
228,123,0.0
229,124,1.0
230,125,0.0
231,127,0.0
232,129,1.0
233,130,0.0
234,133,0.0
235,134,0.0
236,135,1.0
237,138,1.0
238,139,0.0
239,292,0.0
240,293,0.0
241,298,0.0
242,299,1.0
243,305,1.0
244,306,1.0
245,308,1.0
246,313,0.0
247,315,1.0
248,317,0.0
249,318,1.0
250,319,0.0
251,320,0.0
252,322,1.0
253,323,0.0
254,326,0.0
255,447,1.0
256,450,0.0
257,528,0.0
258,529,0.0
259,530,1.0
260,532,1.0
261,533,0.0
262,534,0.0
263,535,0.0
264,536,0.0
265,537,0.0
266,540,0.0
267,541,0.0
268,542,1.0
269,543,1.0
270,544,0.0
271,545,0.0
272,559,1.0
273,560,0.0
274,140,0.0
275,142,1.0
276,143,1.0
277,144,1.0
278,145,0.0
279,146,0.0
280,149,0.0
281,150,0.0
282,151,0.0
283,153,0.0
284,154,0.0
285,155,0.0
286,156,1.0
287,157,1.0
288,158,1.0
289,159,1.0
290,161,1.0
291,162,1.0
292,165,0.0
293,166,1.0
294,167,1.0
295,168,0.0
296,169,0.0
297,331,1.0
298,334,0.0
299,341,1.0
300,342,0.0
301,565,1.0
302,566,0.0
303,567,0.0
304,569,0.0
305,571,0.0
306,575,1.0
307,576,1.0
308,577,1.0
309,578,1.0
310,581,0.0
311,582,0.0
312,583,0.0
313,584,0.0
314,585,0.0
315,586,0.0
316,170,0.0
317,173,1.0
318,174,0.0
319,175,0.0
320,176,0.0
321,177,1.0
322,178,0.0
323,179,0.0
324,180,0.0
325,181,1.0
326,182,1.0
327,348,0.0
328,349,0.0
329,350,1.0
330,351,1.0
331,352,0.0
332,608,0.0
333,609,1.0
334,611,1.0
335,612,1.0
336,614,1.0
337,615,1.0
338,616,0.0
339,617,0.0
340,625,1.0
341,626,1.0
342,628,0.0
343,630,1.0
344,631,1.0
345,632,0.0
346,633,1.0
347,183,0.0
348,184,0.0
349,187,1.0
350,188,1.0
351,189,1.0
352,190,0.0
353,191,0.0
354,192,0.0
355,193,0.0
356,195,0.0
357,196,0.0
358,197,1.0
359,198,1.0
360,200,0.0
361,202,0.0
362,203,0.0
363,204,1.0
364,205,1.0
365,206,0.0
366,207,1.0
367,208,0.0
368,209,0.0
369,210,0.0
370,354,1.0
371,355,1.0
372,356,1.0
373,357,1.0
374,358,1.0
375,359,0.0
376,360,0.0
377,361,0.0
378,365,0.0
379,481,0.0
380,589,1.0
381,590,0.0
382,592,0.0
383,594,1.0
384,595,0.0
385,597,0.0
386,598,0.0
387,599,0.0
388,601,0.0
389,603,1.0
390,604,0.0
391,605,0.0
392,606,1.0
