,task_id,pass_3
0,1,1
1,5,1
2,6,1
3,8,1
4,9,1
5,11,1
6,12,1
7,13,1
8,17,1
9,18,1
10,19,0.966666667
11,20,0.833333333
12,21,1
13,22,1
14,23,1
15,24,1
16,25,1
17,26,1
18,27,0.966666667
19,28,1
20,31,1
21,33,1
22,35,1
23,36,1
24,37,1
25,41,1
26,42,1
27,43,1
28,44,1
29,45,1
30,46,1
31,47,1
32,51,1
33,52,1
34,53,0
35,54,1
36,55,1
37,56,1
38,57,1
39,58,1
40,59,1
41,60,1
42,62,1
43,63,0.3
44,64,1
45,65,1
46,67,1
47,68,1
48,70,0
49,71,1
50,72,0
51,73,0
52,74,1
53,75,0.916666667
54,76,1
55,77,0
56,78,1
57,79,1
58,80,0.708333333
59,81,1
60,82,1
61,83,0
62,84,0
63,85,1
64,86,0.533333333
65,213,0
66,214,0
67,215,0.966666667
68,216,0.833333333
69,219,0
70,220,1
71,221,1
72,224,1
73,226,1
74,227,1
75,229,1
76,230,1
77,231,1
78,232,1
79,233,1
80,234,1
81,235,1
82,240,1
83,241,1
84,242,1
85,244,1
86,248,1
87,249,1
88,250,1
89,252,1
90,253,1
91,255,0
92,256,1
93,258,0
94,259,1
95,260,0
96,262,0.916666667
97,263,1
98,264,0
99,266,1
100,267,1
101,268,1
102,269,1
103,281,1
104,282,1
105,286,1
106,290,0.708333333
107,291,0.533333333
108,366,0
109,369,0
110,370,0.833333333
111,380,0.3
112,381,0
113,386,0.916666667
114,390,1
115,392,1
116,395,0
117,396,1
118,398,1
119,401,0
120,404,1
121,405,0
122,406,0
123,410,1
124,412,0
125,413,0
126,414,0
127,420,0
128,423,1
129,424,1
130,427,1
131,428,0
132,430,1
133,431,1
134,433,0
135,438,0
136,442,1
137,443,1
138,444,1
139,445,1
140,451,1
141,460,1
142,461,1
143,462,1
144,463,1
145,465,1
146,468,1
147,469,1
148,470,1
149,471,1
150,474,1
151,475,1
152,476,1
153,477,1
154,478,1
155,482,1
156,483,1
157,485,1
158,486,0
159,487,1
160,488,0
161,490,1
162,491,0
163,492,1
164,493,0
165,494,1
166,495,0
167,496,0
168,498,1
169,499,1
170,500,1
171,501,1
172,505,1
173,506,1
174,507,1
175,509,1
176,510,1
177,511,1
178,512,1
179,513,1
180,514,1
181,515,1
182,516,1
183,517,1
184,518,1
185,519,1
186,520,1
187,521,1
188,522,1
189,523,1
190,524,1
191,525,1
192,526,1
193,527,0
194,546,1
195,547,1
196,548,1
197,549,1
198,550,1
199,551,1
200,552,1
201,555,1
202,557,1
203,558,1
204,87,1
205,88,1
206,89,0
207,92,1
208,93,1
209,95,1
210,96,1
211,97,1
212,99,1
213,100,1
214,101,1
215,103,1
216,106,0
217,107,1
218,108,1
219,109,1
220,110,1
221,112,1
222,114,1
223,115,1
224,116,1
225,117,1
226,118,1
227,120,1
228,121,0
229,122,1
230,123,1
231,124,1
232,125,0
233,127,0
234,129,0
235,130,0
236,133,0
237,134,1
238,135,1
239,138,1
240,139,0
241,292,0
242,293,0
243,298,0
244,299,1
245,305,1
246,306,1
247,308,0
248,313,1
249,315,1
250,317,1
251,318,1
252,319,1
253,320,1
254,322,1
255,323,1
256,326,0
257,447,1
258,450,1
259,528,0
260,529,0
261,530,1
262,532,1
263,533,1
264,534,1
265,535,1
266,536,1
267,537,1
268,540,1
269,541,1
270,542,1
271,543,1
272,544,1
273,545,1
274,559,1
275,560,1
276,140,0
277,142,0
278,143,1
279,144,1
280,145,1
281,146,1
282,149,0
283,150,0
284,151,1
285,153,1
286,154,0
287,155,0
288,156,0
289,157,0
290,158,0
291,159,1
292,160,0
293,161,0
294,162,1
295,165,1
296,166,1
297,167,1
298,168,0
299,169,1
300,331,1
301,334,0
302,341,1
303,342,0
304,565,0
305,566,0
306,567,0
307,569,0
308,571,0
309,575,0
310,576,0
311,577,1
312,578,1
313,581,1
314,582,1
315,583,1
316,584,1
317,585,1
318,586,1
319,170,1
320,173,1
321,174,0
322,175,0
323,176,0
324,177,1
325,178,1
326,179,1
327,180,1
328,181,1
329,182,0
330,348,1
331,349,0
332,350,1
333,351,1
334,352,0
335,609,1
336,611,1
337,612,1
338,614,0
339,615,1
340,616,1
341,617,1
342,625,1
343,626,0
344,628,1
345,630,1
346,631,0
347,632,1
348,633,1
349,183,0
350,184,0
351,187,1
352,188,1
353,189,1
354,190,1
355,191,0
356,192,1
357,193,1
358,195,0
359,196,1
360,197,1
361,198,1
362,200,0
363,202,1
364,203,1
365,204,1
366,205,1
367,206,1
368,207,1
369,208,1
370,209,1
371,210,0
372,354,0
373,355,1
374,356,1
375,357,1
376,358,0
377,359,1
378,360,1
379,361,1
380,365,1
381,481,1
382,589,1
383,590,0
384,592,0
385,594,1
386,595,1
387,597,0
388,598,1
389,599,0
390,601,1
391,603,1
392,604,1
393,605,1
394,606,1
