task_id,result_retunr_code,model_name
1,0,CodeLlama-7b-instruct-hf
5,1,CodeLlama-7b-instruct-hf
6,1,CodeLlama-7b-instruct-hf
8,1,CodeLlama-7b-instruct-hf
9,0,CodeLlama-7b-instruct-hf
11,0,CodeLlama-7b-instruct-hf
12,0,CodeLlama-7b-instruct-hf
13,1,CodeLlama-7b-instruct-hf
17,0,CodeLlama-7b-instruct-hf
18,1,CodeLlama-7b-instruct-hf
19,0,CodeLlama-7b-instruct-hf
20,1,CodeLlama-7b-instruct-hf
21,1,CodeLlama-7b-instruct-hf
22,1,CodeLlama-7b-instruct-hf
23,0,CodeLlama-7b-instruct-hf
24,1,CodeLlama-7b-instruct-hf
25,1,CodeLlama-7b-instruct-hf
26,0,CodeLlama-7b-instruct-hf
27,1,CodeLlama-7b-instruct-hf
31,1,CodeLlama-7b-instruct-hf
35,1,CodeLlama-7b-instruct-hf
36,0,CodeLlama-7b-instruct-hf
37,1,CodeLlama-7b-instruct-hf
41,1,CodeLlama-7b-instruct-hf
42,1,CodeLlama-7b-instruct-hf
43,0,CodeLlama-7b-instruct-hf
44,1,CodeLlama-7b-instruct-hf
45,1,CodeLlama-7b-instruct-hf
46,1,CodeLlama-7b-instruct-hf
47,1,CodeLlama-7b-instruct-hf
52,0,CodeLlama-7b-instruct-hf
54,1,CodeLlama-7b-instruct-hf
55,0,CodeLlama-7b-instruct-hf
56,0,CodeLlama-7b-instruct-hf
57,1,CodeLlama-7b-instruct-hf
58,1,CodeLlama-7b-instruct-hf
59,1,CodeLlama-7b-instruct-hf
60,1,CodeLlama-7b-instruct-hf
62,0,CodeLlama-7b-instruct-hf
64,1,CodeLlama-7b-instruct-hf
65,0,CodeLlama-7b-instruct-hf
67,1,CodeLlama-7b-instruct-hf
68,1,CodeLlama-7b-instruct-hf
70,1,CodeLlama-7b-instruct-hf
71,1,CodeLlama-7b-instruct-hf
72,1,CodeLlama-7b-instruct-hf
73,1,CodeLlama-7b-instruct-hf
74,1,CodeLlama-7b-instruct-hf
75,1,CodeLlama-7b-instruct-hf
76,0,CodeLlama-7b-instruct-hf
77,1,CodeLlama-7b-instruct-hf
78,1,CodeLlama-7b-instruct-hf
79,1,CodeLlama-7b-instruct-hf
80,1,CodeLlama-7b-instruct-hf
81,0,CodeLlama-7b-instruct-hf
83,0,CodeLlama-7b-instruct-hf
84,1,CodeLlama-7b-instruct-hf
86,1,CodeLlama-7b-instruct-hf
214,1,CodeLlama-7b-instruct-hf
215,1,CodeLlama-7b-instruct-hf
219,1,CodeLlama-7b-instruct-hf
220,0,CodeLlama-7b-instruct-hf
224,1,CodeLlama-7b-instruct-hf
226,1,CodeLlama-7b-instruct-hf
227,1,CodeLlama-7b-instruct-hf
229,1,CodeLlama-7b-instruct-hf
230,0,CodeLlama-7b-instruct-hf
