task_id,result_return_code,model
572,1,Mistral-7B-Instruct-v0.3
424,1,Mistral-7B-Instruct-v0.3
154,1,Mistral-7B-Instruct-v0.3
183,1,Mistral-7B-Instruct-v0.3
219,1,Mistral-7B-Instruct-v0.3
529,1,Mistral-7B-Instruct-v0.3
84,1,Mistral-7B-Instruct-v0.3
176,1,Mistral-7B-Instruct-v0.3
369,1,Mistral-7B-Instruct-v0.3
161,1,Mistral-7B-Instruct-v0.3
517,1,Mistral-7B-Instruct-v0.3
170,1,Mistral-7B-Instruct-v0.3
139,1,Mistral-7B-Instruct-v0.3
342,1,Mistral-7B-Instruct-v0.3
174,1,Mistral-7B-Instruct-v0.3
45,1,Mistral-7B-Instruct-v0.3
24,1,Mistral-7B-Instruct-v0.3
73,1,Mistral-7B-Instruct-v0.3
476,1,Mistral-7B-Instruct-v0.3
75,1,Mistral-7B-Instruct-v0.3
430,1,Mistral-7B-Instruct-v0.3
495,1,Mistral-7B-Instruct-v0.3
263,1,Mistral-7B-Instruct-v0.3
44,1,Mistral-7B-Instruct-v0.3
116,1,Mistral-7B-Instruct-v0.3
71,1,Mistral-7B-Instruct-v0.3
67,1,Mistral-7B-Instruct-v0.3
78,1,Mistral-7B-Instruct-v0.3
108,1,Mistral-7B-Instruct-v0.3
127,1,Mistral-7B-Instruct-v0.3
253,1,Mistral-7B-Instruct-v0.3
490,1,Mistral-7B-Instruct-v0.3
132,1,Mistral-7B-Instruct-v0.3
475,1,Mistral-7B-Instruct-v0.3
203,1,Mistral-7B-Instruct-v0.3
597,1,Mistral-7B-Instruct-v0.3
23,1,Mistral-7B-Instruct-v0.3
583,1,Mistral-7B-Instruct-v0.3
515,1,Mistral-7B-Instruct-v0.3
525,1,Mistral-7B-Instruct-v0.3
380,1,Mistral-7B-Instruct-v0.3
462,1,Mistral-7B-Instruct-v0.3
214,1,Mistral-7B-Instruct-v0.3
86,1,Mistral-7B-Instruct-v0.3
442,1,Mistral-7B-Instruct-v0.3
481,1,Mistral-7B-Instruct-v0.3
518,1,Mistral-7B-Instruct-v0.3
404,1,Mistral-7B-Instruct-v0.3
546,1,Mistral-7B-Instruct-v0.3
256,1,Mistral-7B-Instruct-v0.3
258,1,Mistral-7B-Instruct-v0.3
326,1,Mistral-7B-Instruct-v0.3
202,1,Mistral-7B-Instruct-v0.3
163,1,Mistral-7B-Instruct-v0.3
486,1,Mistral-7B-Instruct-v0.3
582,1,Mistral-7B-Instruct-v0.3
405,1,Mistral-7B-Instruct-v0.3
395,1,Mistral-7B-Instruct-v0.3
589,1,Mistral-7B-Instruct-v0.3
530,1,Mistral-7B-Instruct-v0.3
526,1,Mistral-7B-Instruct-v0.3
207,1,Mistral-7B-Instruct-v0.3
299,1,Mistral-7B-Instruct-v0.3
493,1,Mistral-7B-Instruct-v0.3
178,1,Mistral-7B-Instruct-v0.3
198,1,Mistral-7B-Instruct-v0.3
567,1,Mistral-7B-Instruct-v0.3
150,1,Mistral-7B-Instruct-v0.3
58,1,Mistral-7B-Instruct-v0.3
571,1,Mistral-7B-Instruct-v0.3
80,1,Mistral-7B-Instruct-v0.3
235,1,Mistral-7B-Instruct-v0.3
354,1,Mistral-7B-Instruct-v0.3
43,1,Mistral-7B-Instruct-v0.3
191,1,Mistral-7B-Instruct-v0.3
22,1,Mistral-7B-Instruct-v0.3
41,1,Mistral-7B-Instruct-v0.3
522,1,Mistral-7B-Instruct-v0.3
124,1,Mistral-7B-Instruct-v0.3
331,1,Mistral-7B-Instruct-v0.3
470,1,Mistral-7B-Instruct-v0.3
