,task_id,pass_5
0,412,0
1,538,0
2,540,1
3,541,1
4,542,1
5,543,1
6,544,1
7,545,1
8,559,1
9,560,0
10,140,1
11,141,0
12,142,1
13,143,1
14,144,1
15,145,0
16,146,0
17,147,1
18,148,0
19,149,0
20,150,0
21,151,0
22,152,0
23,153,0
24,1,1
25,5,1
26,6,0
27,8,0
28,9,1
29,11,1
30,12,1
31,17,0
32,18,0
33,19,0
34,20,0
35,21,0
36,22,0
37,23,0
38,24,1
39,25,1
40,26,1
41,27,0
42,28,0
43,31,0
44,33,1
45,35,0
46,36,1
47,37,0
48,42,1
49,43,0
50,44,1
51,45,0
52,46,0
53,47,0
54,51,0
55,52,0
56,53,1
57,54,0
58,55,0
59,56,0
60,57,0
61,58,1
62,59,1
63,60,0
64,62,1
65,63,0
66,64,0
67,65,1
68,67,0
69,68,0
70,70,0
71,71,0
72,72,0
73,73,0
74,74,1
75,75,0
76,76,0
77,77,0
78,78,0
79,79,0
80,80,0
81,81,1
82,82,1
83,83,0
84,84,0
85,85,1
86,213,0
87,214,0
88,215,1
89,216,0
90,219,0
91,220,0
92,221,0
93,224,1
94,226,0
95,227,1
96,229,0
97,231,1
98,232,0
99,233,0
100,234,1
101,235,1
102,240,0
103,241,0
104,242,0
105,244,0
106,248,1
107,249,0
108,250,0
109,252,0
110,253,0
111,255,1
112,256,0
113,258,0
114,259,1
115,260,0
116,262,0
117,263,0
118,264,0
119,266,0
120,267,0
121,268,0
122,269,1
123,281,1
124,282,1
125,286,1
126,290,0
127,291,0
128,366,0
129,369,0
130,370,0
131,380,0
132,381,0
133,386,1
134,390,0
135,392,0
136,395,0
137,396,1
138,398,1
139,401,0
140,404,0
141,405,0
142,406,0
143,410,0
144,413,0
145,414,0
146,418,1
147,420,0
148,423,0
149,424,1
150,427,0
151,430,1
152,431,0
153,433,0
154,438,1
155,442,0
156,443,0
157,445,1
158,451,1
159,460,1
160,461,0
161,463,1
162,465,1
163,468,0
164,469,1
165,470,0
166,471,0
167,474,0
168,475,1
169,476,0
170,477,0
171,478,0
172,482,0
173,483,1
174,485,0
175,486,1
176,487,1
177,488,0
178,490,0
179,491,0
180,492,0
181,493,0
182,494,1
183,495,0
184,496,0
185,498,1
186,499,0
187,500,1
188,501,0
189,505,0
190,506,0
191,507,1
192,509,1
193,510,0
194,511,0
195,512,0
196,513,0
197,514,1
198,515,1
199,516,1
200,517,1
201,518,1
202,519,1
203,520,0
204,521,0
205,522,1
206,523,1
207,524,1
208,525,1
209,526,0
210,527,0
211,546,1
212,547,1
213,548,1
214,549,0
215,550,0
216,551,1
217,552,0
218,555,0
219,557,1
220,558,1
221,87,0
222,88,0
223,89,0
224,92,1
225,93,0
226,95,1
227,96,0
228,97,1
229,99,1
230,100,0
231,101,0
232,103,0
233,104,0
234,106,0
235,107,1
236,108,0
237,109,1
238,110,1
239,111,0
240,112,0
241,113,0
242,114,0
243,115,1
244,116,0
245,117,0
246,118,0
247,119,0
248,120,0
249,121,0
250,122,0
251,123,0
252,124,1
253,125,0
254,127,0
255,129,1
256,130,0
257,131,0
258,132,0
259,133,0
260,134,0
261,135,1
262,137,1
263,138,1
264,139,0
265,292,0
266,293,1
267,298,0
268,299,1
269,300,0
270,305,1
271,306,1
272,308,1
273,313,0
274,315,1
275,317,0
276,318,0
277,319,1
278,320,1
279,322,1
280,323,1
281,326,0
282,447,1
283,449,1
284,450,1
285,528,0
286,529,0
287,530,1
288,532,1
289,533,1
290,534,1
291,535,0
292,536,0
293,537,0
294,154,0
295,155,0
296,156,0
297,157,1
298,158,0
299,159,0
300,160,0
301,161,0
302,162,1
303,163,0
304,164,1
305,165,0
306,166,1
307,167,1
308,168,0
309,169,1
310,331,1
311,334,0
312,341,1
313,342,0
314,343,0
315,565,1
316,566,0
317,567,0
318,569,0
319,570,0
320,571,0
321,572,0
322,575,1
323,576,1
324,577,1
325,578,0
326,581,0
327,582,0
328,583,0
329,584,0
330,585,0
331,586,0
332,170,0
333,173,0
334,174,0
335,176,0
336,177,0
337,178,0
338,179,0
339,180,0
340,181,1
341,182,0
342,348,1
343,349,0
344,350,1
345,351,1
346,352,1
347,608,1
348,609,1
349,610,0
350,611,1
351,612,1
352,614,1
353,615,1
354,616,0
355,617,0
356,623,0
357,625,1
358,626,0
359,628,0
360,630,1
361,631,0
362,632,0
363,633,1
364,183,0
365,184,0
366,187,1
367,188,1
368,189,1
369,190,0
370,191,0
371,192,0
372,193,0
373,194,0
374,195,0
375,196,0
376,197,1
377,198,0
378,200,0
379,202,0
380,203,0
381,204,1
382,205,1
383,206,0
384,207,0
385,208,0
386,209,0
387,210,0
388,354,1
389,355,1
390,356,1
391,357,1
392,358,0
393,359,0
394,360,0
395,361,0
396,365,1
397,481,0
398,589,0
399,590,0
400,591,0
401,592,0
402,594,1
403,595,1
404,597,0
405,598,0
406,599,0
407,601,0
408,603,1
409,604,0
410,605,0
411,606,1
