task_id,result_return_code,model
264,1,Phi-3-small-8k-instruct
184,1,Phi-3-small-8k-instruct
46,1,Phi-3-small-8k-instruct
599,1,Phi-3-small-8k-instruct
209,1,Phi-3-small-8k-instruct
572,0,Phi-3-small-8k-instruct
174,1,Phi-3-small-8k-instruct
234,1,Phi-3-small-8k-instruct
241,1,Phi-3-small-8k-instruct
414,1,Phi-3-small-8k-instruct
62,1,Phi-3-small-8k-instruct
369,1,Phi-3-small-8k-instruct
481,1,Phi-3-small-8k-instruct
13,1,Phi-3-small-8k-instruct
255,1,Phi-3-small-8k-instruct
433,1,Phi-3-small-8k-instruct
612,1,Phi-3-small-8k-instruct
420,1,Phi-3-small-8k-instruct
25,1,Phi-3-small-8k-instruct
451,1,Phi-3-small-8k-instruct
60,1,Phi-3-small-8k-instruct
413,1,Phi-3-small-8k-instruct
173,1,Phi-3-small-8k-instruct
529,0,Phi-3-small-8k-instruct
125,1,Phi-3-small-8k-instruct
108,1,Phi-3-small-8k-instruct
75,1,Phi-3-small-8k-instruct
95,0,Phi-3-small-8k-instruct
631,1,Phi-3-small-8k-instruct
625,1,Phi-3-small-8k-instruct
64,1,Phi-3-small-8k-instruct
626,1,Phi-3-small-8k-instruct
485,1,Phi-3-small-8k-instruct
23,1,Phi-3-small-8k-instruct
424,1,Phi-3-small-8k-instruct
410,1,Phi-3-small-8k-instruct
51,1,Phi-3-small-8k-instruct
313,1,Phi-3-small-8k-instruct
71,1,Phi-3-small-8k-instruct
262,1,Phi-3-small-8k-instruct
44,1,Phi-3-small-8k-instruct
565,1,Phi-3-small-8k-instruct
260,1,Phi-3-small-8k-instruct
187,1,Phi-3-small-8k-instruct
36,1,Phi-3-small-8k-instruct
183,1,Phi-3-small-8k-instruct
219,1,Phi-3-small-8k-instruct
465,1,Phi-3-small-8k-instruct
47,1,Phi-3-small-8k-instruct
176,1,Phi-3-small-8k-instruct
24,1,Phi-3-small-8k-instruct
116,1,Phi-3-small-8k-instruct
300,1,Phi-3-small-8k-instruct
366,1,Phi-3-small-8k-instruct
445,1,Phi-3-small-8k-instruct
523,1,Phi-3-small-8k-instruct
154,1,Phi-3-small-8k-instruct
476,1,Phi-3-small-8k-instruct
220,1,Phi-3-small-8k-instruct
179,1,Phi-3-small-8k-instruct
214,1,Phi-3-small-8k-instruct
139,1,Phi-3-small-8k-instruct
293,1,Phi-3-small-8k-instruct
541,0,Phi-3-small-8k-instruct
598,1,Phi-3-small-8k-instruct
140,1,Phi-3-small-8k-instruct
460,1,Phi-3-small-8k-instruct
427,1,Phi-3-small-8k-instruct
633,1,Phi-3-small-8k-instruct
488,1,Phi-3-small-8k-instruct
57,1,Phi-3-small-8k-instruct
470,1,Phi-3-small-8k-instruct
343,1,Phi-3-small-8k-instruct
231,1,Phi-3-small-8k-instruct
114,1,Phi-3-small-8k-instruct
27,1,Phi-3-small-8k-instruct
58,1,Phi-3-small-8k-instruct
12,1,Phi-3-small-8k-instruct
11,1,Phi-3-small-8k-instruct
5,1,Phi-3-small-8k-instruct
170,1,Phi-3-small-8k-instruct
305,1,Phi-3-small-8k-instruct
430,1,Phi-3-small-8k-instruct
475,1,Phi-3-small-8k-instruct
263,1,Phi-3-small-8k-instruct
258,1,Phi-3-small-8k-instruct
404,1,Phi-3-small-8k-instruct
113,1,Phi-3-small-8k-instruct
