,task_id,result_return_code,model
0,100,1,codegeex4-all-9b
1,101,1,codegeex4-all-9b
2,103,1,codegeex4-all-9b
3,106,1,codegeex4-all-9b
4,107,0,codegeex4-all-9b
5,108,1,codegeex4-all-9b
6,109,0,codegeex4-all-9b
7,110,0,codegeex4-all-9b
8,112,1,codegeex4-all-9b
9,114,1,codegeex4-all-9b
10,115,0,codegeex4-all-9b
11,116,1,codegeex4-all-9b
12,117,1,codegeex4-all-9b
13,118,1,codegeex4-all-9b
14,11,0,codegeex4-all-9b
15,120,1,codegeex4-all-9b
16,121,0,codegeex4-all-9b
17,122,1,codegeex4-all-9b
18,123,1,codegeex4-all-9b
19,124,0,codegeex4-all-9b
20,125,1,codegeex4-all-9b
21,127,1,codegeex4-all-9b
22,129,0,codegeex4-all-9b
23,12,0,codegeex4-all-9b
24,130,1,codegeex4-all-9b
25,133,1,codegeex4-all-9b
26,134,1,codegeex4-all-9b
27,135,0,codegeex4-all-9b
28,138,0,codegeex4-all-9b
29,139,1,codegeex4-all-9b
30,13,1,codegeex4-all-9b
31,140,1,codegeex4-all-9b
32,142,0,codegeex4-all-9b
33,143,0,codegeex4-all-9b
34,144,0,codegeex4-all-9b
35,145,1,codegeex4-all-9b
36,146,1,codegeex4-all-9b
37,150,1,codegeex4-all-9b
38,151,0,codegeex4-all-9b
39,153,1,codegeex4-all-9b
40,154,1,codegeex4-all-9b
41,155,1,codegeex4-all-9b
42,156,0,codegeex4-all-9b
43,157,0,codegeex4-all-9b
44,158,0,codegeex4-all-9b
45,159,0,codegeex4-all-9b
46,160,1,codegeex4-all-9b
47,161,1,codegeex4-all-9b
48,162,0,codegeex4-all-9b
49,165,1,codegeex4-all-9b
50,166,0,codegeex4-all-9b
51,167,0,codegeex4-all-9b
52,168,1,codegeex4-all-9b
53,169,0,codegeex4-all-9b
54,170,1,codegeex4-all-9b
55,173,0,codegeex4-all-9b
56,174,1,codegeex4-all-9b
57,176,1,codegeex4-all-9b
58,177,0,codegeex4-all-9b
59,178,1,codegeex4-all-9b
60,179,1,codegeex4-all-9b
61,17,1,codegeex4-all-9b
62,180,1,codegeex4-all-9b
63,181,0,codegeex4-all-9b
64,182,1,codegeex4-all-9b
65,183,1,codegeex4-all-9b
66,184,1,codegeex4-all-9b
67,187,0,codegeex4-all-9b
68,188,0,codegeex4-all-9b
69,189,0,codegeex4-all-9b
70,18,0,codegeex4-all-9b
71,190,0,codegeex4-all-9b
72,191,1,codegeex4-all-9b
73,192,1,codegeex4-all-9b
74,193,1,codegeex4-all-9b
75,195,1,codegeex4-all-9b
76,196,1,codegeex4-all-9b
77,197,0,codegeex4-all-9b
78,198,0,codegeex4-all-9b
79,19,0,codegeex4-all-9b
80,1,0,codegeex4-all-9b
81,200,1,codegeex4-all-9b
82,202,1,codegeex4-all-9b
83,203,0,codegeex4-all-9b
84,204,0,codegeex4-all-9b
85,205,1,codegeex4-all-9b
86,206,1,codegeex4-all-9b
87,207,0,codegeex4-all-9b
88,209,1,codegeex4-all-9b
89,20,1,codegeex4-all-9b
90,210,0,codegeex4-all-9b
91,213,0,codegeex4-all-9b
92,214,1,codegeex4-all-9b
93,215,0,codegeex4-all-9b
94,216,0,codegeex4-all-9b
95,219,1,codegeex4-all-9b
96,21,1,codegeex4-all-9b
97,220,0,codegeex4-all-9b
98,221,1,codegeex4-all-9b
99,224,1,codegeex4-all-9b
100,226,1,codegeex4-all-9b
101,227,0,codegeex4-all-9b
102,229,1,codegeex4-all-9b
103,22,1,codegeex4-all-9b
104,230,0,codegeex4-all-9b
105,231,0,codegeex4-all-9b
106,232,1,codegeex4-all-9b
107,233,0,codegeex4-all-9b
108,234,0,codegeex4-all-9b
109,235,1,codegeex4-all-9b
110,23,1,codegeex4-all-9b
111,240,0,codegeex4-all-9b
112,241,0,codegeex4-all-9b
113,242,0,codegeex4-all-9b
114,244,1,codegeex4-all-9b
115,248,0,codegeex4-all-9b
116,249,1,codegeex4-all-9b
117,24,0,codegeex4-all-9b
118,250,1,codegeex4-all-9b
119,252,1,codegeex4-all-9b
120,253,1,codegeex4-all-9b
121,255,0,codegeex4-all-9b
122,256,0,codegeex4-all-9b
123,258,1,codegeex4-all-9b
124,259,0,codegeex4-all-9b
125,25,0,codegeex4-all-9b
126,260,0,codegeex4-all-9b
127,262,0,codegeex4-all-9b
128,263,0,codegeex4-all-9b
129,264,1,codegeex4-all-9b
130,266,0,codegeex4-all-9b
131,267,0,codegeex4-all-9b
132,268,0,codegeex4-all-9b
133,269,0,codegeex4-all-9b
134,26,0,codegeex4-all-9b
135,27,0,codegeex4-all-9b
136,281,0,codegeex4-all-9b
137,282,0,codegeex4-all-9b
138,286,0,codegeex4-all-9b
139,28,0,codegeex4-all-9b
140,290,1,codegeex4-all-9b
141,291,0,codegeex4-all-9b
142,292,0,codegeex4-all-9b
143,293,0,codegeex4-all-9b
144,298,1,codegeex4-all-9b
145,299,1,codegeex4-all-9b
146,305,0,codegeex4-all-9b
147,306,0,codegeex4-all-9b
148,308,0,codegeex4-all-9b
149,313,1,codegeex4-all-9b
150,315,0,codegeex4-all-9b
151,317,1,codegeex4-all-9b
152,318,0,codegeex4-all-9b
153,319,0,codegeex4-all-9b
154,31,0,codegeex4-all-9b
155,320,1,codegeex4-all-9b
156,322,0,codegeex4-all-9b
157,323,0,codegeex4-all-9b
158,326,1,codegeex4-all-9b
159,331,0,codegeex4-all-9b
160,334,1,codegeex4-all-9b
161,33,0,codegeex4-all-9b
162,341,0,codegeex4-all-9b
163,342,1,codegeex4-all-9b
164,348,0,codegeex4-all-9b
165,349,0,codegeex4-all-9b
166,350,0,codegeex4-all-9b
167,351,0,codegeex4-all-9b
168,352,0,codegeex4-all-9b
169,354,1,codegeex4-all-9b
170,355,1,codegeex4-all-9b
171,356,0,codegeex4-all-9b
172,357,0,codegeex4-all-9b
173,358,1,codegeex4-all-9b
174,359,1,codegeex4-all-9b
175,35,0,codegeex4-all-9b
176,360,1,codegeex4-all-9b
177,361,0,codegeex4-all-9b
178,365,0,codegeex4-all-9b
179,366,0,codegeex4-all-9b
180,369,1,codegeex4-all-9b
181,36,0,codegeex4-all-9b
182,370,1,codegeex4-all-9b
183,37,1,codegeex4-all-9b
184,380,0,codegeex4-all-9b
185,381,0,codegeex4-all-9b
186,386,0,codegeex4-all-9b
187,390,1,codegeex4-all-9b
188,392,0,codegeex4-all-9b
189,395,0,codegeex4-all-9b
190,396,0,codegeex4-all-9b
191,398,0,codegeex4-all-9b
192,401,0,codegeex4-all-9b
193,404,0,codegeex4-all-9b
194,405,1,codegeex4-all-9b
195,406,1,codegeex4-all-9b
196,410,1,codegeex4-all-9b
197,412,1,codegeex4-all-9b
198,413,1,codegeex4-all-9b
199,414,0,codegeex4-all-9b
200,41,0,codegeex4-all-9b
201,420,1,codegeex4-all-9b
202,423,1,codegeex4-all-9b
203,424,0,codegeex4-all-9b
204,427,1,codegeex4-all-9b
205,428,0,codegeex4-all-9b
206,42,0,codegeex4-all-9b
207,430,0,codegeex4-all-9b
208,431,0,codegeex4-all-9b
209,433,1,codegeex4-all-9b
210,438,0,codegeex4-all-9b
211,43,0,codegeex4-all-9b
212,442,0,codegeex4-all-9b
213,443,0,codegeex4-all-9b
214,444,0,codegeex4-all-9b
215,445,0,codegeex4-all-9b
216,447,0,codegeex4-all-9b
217,44,0,codegeex4-all-9b
218,450,0,codegeex4-all-9b
219,451,1,codegeex4-all-9b
220,45,1,codegeex4-all-9b
221,460,0,codegeex4-all-9b
222,461,0,codegeex4-all-9b
223,462,0,codegeex4-all-9b
224,463,1,codegeex4-all-9b
225,465,0,codegeex4-all-9b
226,468,0,codegeex4-all-9b
227,469,0,codegeex4-all-9b
228,46,0,codegeex4-all-9b
229,470,1,codegeex4-all-9b
230,471,1,codegeex4-all-9b
231,474,1,codegeex4-all-9b
232,475,0,codegeex4-all-9b
233,476,0,codegeex4-all-9b
234,477,1,codegeex4-all-9b
235,478,1,codegeex4-all-9b
236,47,1,codegeex4-all-9b
237,481,1,codegeex4-all-9b
238,482,1,codegeex4-all-9b
239,483,0,codegeex4-all-9b
240,485,1,codegeex4-all-9b
241,486,0,codegeex4-all-9b
242,487,0,codegeex4-all-9b
243,488,1,codegeex4-all-9b
244,490,1,codegeex4-all-9b
245,491,1,codegeex4-all-9b
246,492,0,codegeex4-all-9b
247,493,1,codegeex4-all-9b
248,494,0,codegeex4-all-9b
249,495,0,codegeex4-all-9b
250,496,0,codegeex4-all-9b
251,498,0,codegeex4-all-9b
252,499,1,codegeex4-all-9b
253,500,0,codegeex4-all-9b
254,501,0,codegeex4-all-9b
255,505,0,codegeex4-all-9b
256,506,0,codegeex4-all-9b
257,507,0,codegeex4-all-9b
258,509,0,codegeex4-all-9b
259,510,0,codegeex4-all-9b
260,511,0,codegeex4-all-9b
261,512,0,codegeex4-all-9b
262,513,0,codegeex4-all-9b
263,514,0,codegeex4-all-9b
264,515,0,codegeex4-all-9b
265,516,0,codegeex4-all-9b
266,517,0,codegeex4-all-9b
267,518,0,codegeex4-all-9b
268,519,0,codegeex4-all-9b
269,51,1,codegeex4-all-9b
270,520,0,codegeex4-all-9b
271,521,1,codegeex4-all-9b
272,522,0,codegeex4-all-9b
273,523,0,codegeex4-all-9b
274,524,0,codegeex4-all-9b
275,525,0,codegeex4-all-9b
276,526,0,codegeex4-all-9b
277,527,0,codegeex4-all-9b
278,528,1,codegeex4-all-9b
279,529,1,codegeex4-all-9b
280,52,0,codegeex4-all-9b
281,530,0,codegeex4-all-9b
282,532,0,codegeex4-all-9b
283,533,0,codegeex4-all-9b
284,534,0,codegeex4-all-9b
285,535,1,codegeex4-all-9b
286,536,1,codegeex4-all-9b
287,537,1,codegeex4-all-9b
288,53,0,codegeex4-all-9b
289,540,1,codegeex4-all-9b
290,541,1,codegeex4-all-9b
291,542,0,codegeex4-all-9b
292,543,0,codegeex4-all-9b
293,544,0,codegeex4-all-9b
294,545,0,codegeex4-all-9b
295,546,0,codegeex4-all-9b
296,547,0,codegeex4-all-9b
297,548,0,codegeex4-all-9b
298,549,0,codegeex4-all-9b
299,54,1,codegeex4-all-9b
300,550,1,codegeex4-all-9b
301,551,0,codegeex4-all-9b
302,552,0,codegeex4-all-9b
303,555,0,codegeex4-all-9b
304,557,0,codegeex4-all-9b
305,558,0,codegeex4-all-9b
306,559,0,codegeex4-all-9b
307,55,0,codegeex4-all-9b
308,560,1,codegeex4-all-9b
309,565,0,codegeex4-all-9b
310,566,1,codegeex4-all-9b
311,567,1,codegeex4-all-9b
312,569,0,codegeex4-all-9b
313,56,1,codegeex4-all-9b
314,571,1,codegeex4-all-9b
315,575,0,codegeex4-all-9b
316,576,0,codegeex4-all-9b
317,577,0,codegeex4-all-9b
318,578,0,codegeex4-all-9b
319,57,1,codegeex4-all-9b
320,581,1,codegeex4-all-9b
321,582,1,codegeex4-all-9b
322,583,1,codegeex4-all-9b
323,584,0,codegeex4-all-9b
324,585,0,codegeex4-all-9b
325,586,1,codegeex4-all-9b
326,589,0,codegeex4-all-9b
327,58,0,codegeex4-all-9b
328,590,1,codegeex4-all-9b
329,592,1,codegeex4-all-9b
330,594,0,codegeex4-all-9b
331,595,0,codegeex4-all-9b
332,597,1,codegeex4-all-9b
333,598,1,codegeex4-all-9b
334,599,1,codegeex4-all-9b
335,59,1,codegeex4-all-9b
336,5,0,codegeex4-all-9b
337,601,1,codegeex4-all-9b
338,603,0,codegeex4-all-9b
339,604,0,codegeex4-all-9b
340,605,1,codegeex4-all-9b
341,606,0,codegeex4-all-9b
342,609,0,codegeex4-all-9b
343,60,0,codegeex4-all-9b
344,611,0,codegeex4-all-9b
345,612,0,codegeex4-all-9b
346,614,0,codegeex4-all-9b
347,615,0,codegeex4-all-9b
348,616,1,codegeex4-all-9b
349,617,0,codegeex4-all-9b
350,625,1,codegeex4-all-9b
351,626,1,codegeex4-all-9b
352,628,0,codegeex4-all-9b
353,62,0,codegeex4-all-9b
354,630,0,codegeex4-all-9b
355,631,0,codegeex4-all-9b
356,632,1,codegeex4-all-9b
357,633,0,codegeex4-all-9b
358,63,1,codegeex4-all-9b
359,64,0,codegeex4-all-9b
360,65,0,codegeex4-all-9b
361,66,0,codegeex4-all-9b
362,67,0,codegeex4-all-9b
363,68,1,codegeex4-all-9b
364,6,1,codegeex4-all-9b
365,70,1,codegeex4-all-9b
366,71,1,codegeex4-all-9b
367,72,0,codegeex4-all-9b
368,73,0,codegeex4-all-9b
369,74,1,codegeex4-all-9b
370,75,1,codegeex4-all-9b
371,76,1,codegeex4-all-9b
372,77,1,codegeex4-all-9b
373,78,1,codegeex4-all-9b
374,79,0,codegeex4-all-9b
375,80,1,codegeex4-all-9b
376,81,0,codegeex4-all-9b
377,82,0,codegeex4-all-9b
378,83,0,codegeex4-all-9b
379,84,0,codegeex4-all-9b
380,85,0,codegeex4-all-9b
381,86,0,codegeex4-all-9b
382,87,1,codegeex4-all-9b
383,88,1,codegeex4-all-9b
384,89,0,codegeex4-all-9b
385,8,0,codegeex4-all-9b
386,92,0,codegeex4-all-9b
387,93,0,codegeex4-all-9b
388,95,0,codegeex4-all-9b
389,96,1,codegeex4-all-9b
390,97,0,codegeex4-all-9b
391,99,0,codegeex4-all-9b
392,9,0,codegeex4-all-9b
