,task_id,pass_5
0,1,1
1,5,1
2,6,1
3,8,1
4,9,1
5,11,1
6,12,1
7,13,1
8,17,1
9,18,1
10,19,1
11,20,1
12,21,1
13,22,1
14,23,1
15,24,1
16,25,1
17,26,1
18,27,1
19,28,1
20,31,1
21,33,1
22,35,1
23,36,1
24,37,0
25,41,1
26,42,1
27,43,1
28,44,1
29,45,1
30,46,1
31,47,0
32,51,1
33,52,1
34,53,1
35,54,0
36,55,1
37,56,1
38,57,0
39,58,1
40,59,0
41,60,1
42,62,1
43,63,0
44,64,0
45,65,0
46,67,1
47,68,1
48,70,0
49,71,0
50,72,1
51,73,1
52,74,0
53,75,0
54,76,1
55,77,0
56,78,0
57,79,1
58,80,0
59,81,1
60,82,1
61,83,1
62,84,1
63,85,0
64,86,1
65,213,1
66,214,0
67,215,1
68,216,0
69,219,1
70,220,1
71,221,1
72,224,0
73,226,1
74,227,0
75,229,0
76,230,0
77,231,1
78,232,0
79,233,0
80,234,1
81,235,0
82,240,0
83,241,1
84,242,1
85,244,1
86,248,1
87,249,0
88,250,0
89,252,0
90,253,0
91,255,1
92,256,0
93,258,0
94,259,1
95,260,1
96,262,1
97,263,1
98,264,1
99,266,1
100,267,1
101,268,1
102,269,1
103,281,1
104,282,1
105,286,1
106,290,0
107,291,1
108,366,1
109,369,0
110,370,1
111,380,0
112,381,1
113,386,1
114,390,0
115,392,1
116,395,1
117,396,1
118,398,1
119,401,0
120,404,1
121,405,0
122,406,1
123,412,1
124,413,0
125,414,0
126,418,1
127,420,0
128,423,1
129,424,1
130,427,1
131,428,1
132,430,1
133,431,1
134,433,0
135,438,1
136,442,1
137,443,1
138,444,0
139,445,0
140,451,1
141,460,1
142,461,1
143,462,1
144,463,0
145,465,1
146,468,1
147,469,1
148,470,0
149,471,0
150,474,0
151,475,0
152,476,1
153,477,0
154,478,0
155,482,0
156,483,1
157,485,0
158,486,1
159,487,1
160,488,0
161,490,0
162,491,0
163,492,1
164,493,0
165,494,1
166,495,1
167,496,1
168,498,1
169,499,1
170,500,1
171,501,1
172,505,1
173,506,1
174,507,1
175,509,1
176,510,1
177,511,1
178,512,1
179,513,1
180,514,1
181,515,1
182,516,1
183,517,1
184,518,0
185,519,1
186,520,1
187,521,0
188,522,0
189,523,1
190,524,0
191,525,0
192,526,1
193,527,1
194,546,1
195,547,1
196,548,1
197,549,1
198,550,0
199,551,0
200,552,0
201,555,1
202,557,1
203,558,1
204,87,0
205,88,0
206,89,1
207,92,1
208,93,1
209,95,1
210,96,0
211,97,1
212,99,1
213,100,0
214,101,0
215,103,0
216,104,0
217,106,0
218,107,1
219,108,0
220,109,1
221,110,1
222,111,0
223,112,0
224,113,1
225,114,0
226,115,1
227,116,0
228,117,0
229,118,0
230,119,0
231,120,1
232,121,1
233,122,1
234,123,1
235,124,1
236,125,0
237,127,0
238,129,1
239,130,0
240,131,0
241,132,0
242,133,0
243,134,0
244,135,1
245,137,1
246,138,1
247,139,0
248,292,0
249,293,1
250,298,0
251,299,1
252,300,0
253,305,1
254,306,0
255,308,1
256,313,0
257,315,1
258,317,0
259,318,1
260,319,1
261,320,0
262,322,1
263,323,1
264,326,1
265,447,1
266,449,1
267,450,1
268,528,0
269,529,0
270,530,1
271,532,1
272,533,1
273,534,1
274,535,0
275,536,0
276,537,0
277,538,0
278,540,1
279,541,1
280,542,1
281,543,1
282,544,1
283,545,1
284,559,1
285,560,1
286,140,0
287,141,1
288,142,0
289,143,1
290,144,1
291,145,0
292,146,0
293,147,1
294,148,0
295,149,1
296,150,0
297,151,1
298,152,1
299,153,1
300,154,0
301,155,0
302,156,1
303,157,1
304,158,1
305,159,0
306,160,0
307,161,1
308,162,1
309,163,1
310,164,1
311,165,0
312,166,1
313,167,1
314,168,0
315,169,1
316,331,1
317,334,0
318,341,1
319,342,0
320,343,0
321,565,1
322,566,0
323,567,0
324,569,1
325,570,0
326,571,0
327,572,0
328,575,1
329,576,1
330,577,1
331,578,1
332,581,0
333,582,0
334,583,0
335,584,0
336,585,1
337,586,1
338,170,0
339,173,1
340,174,0
341,175,0
342,176,0
343,177,1
344,178,0
345,179,0
346,180,0
347,181,1
348,182,0
349,348,1
350,349,0
351,350,1
352,351,1
353,352,1
354,608,0
355,609,1
356,610,0
357,611,1
358,612,1
359,614,1
360,615,1
361,616,1
362,617,1
363,623,1
364,625,1
365,626,0
366,628,1
367,630,1
368,631,0
369,632,0
370,633,1
371,183,0
372,184,0
373,187,1
374,188,1
375,189,1
376,190,0
377,191,0
378,192,0
379,193,0
380,194,0
381,195,0
382,196,0
383,197,1
384,198,1
385,200,0
386,202,0
387,203,1
388,204,1
389,205,1
390,206,1
391,207,1
392,208,0
393,209,0
394,210,1
395,354,0
396,355,0
397,356,1
398,357,1
399,358,0
400,359,0
401,360,1
402,361,0
403,365,1
404,481,0
405,589,1
406,590,0
407,591,0
408,592,0
409,594,1
410,595,1
411,597,1
412,598,0
413,599,0
414,601,0.5
415,603,1
416,604,1
417,605,1
418,606,1
