task_id,result_return_code,model_name
1,0,gpt-3.5-turbo
5,0,gpt-3.5-turbo
6,0,gpt-3.5-turbo
8,0,gpt-3.5-turbo
9,3,gpt-3.5-turbo
11,0,gpt-3.5-turbo
12,0,gpt-3.5-turbo
13,1,gpt-3.5-turbo
17,0,gpt-3.5-turbo
18,3,gpt-3.5-turbo
19,1,gpt-3.5-turbo
21,1,gpt-3.5-turbo
22,0,gpt-3.5-turbo
23,0,gpt-3.5-turbo
24,0,gpt-3.5-turbo
25,0,gpt-3.5-turbo
26,0,gpt-3.5-turbo
28,0,gpt-3.5-turbo
31,0,gpt-3.5-turbo
35,0,gpt-3.5-turbo
36,0,gpt-3.5-turbo
41,0,gpt-3.5-turbo
42,2,gpt-3.5-turbo
43,0,gpt-3.5-turbo
44,0,gpt-3.5-turbo
45,0,gpt-3.5-turbo
46,1,gpt-3.5-turbo
47,0,gpt-3.5-turbo
52,0,gpt-3.5-turbo
53,1,gpt-3.5-turbo
54,0,gpt-3.5-turbo
55,0,gpt-3.5-turbo
56,0,gpt-3.5-turbo
58,3,gpt-3.5-turbo
59,0,gpt-3.5-turbo
60,1,gpt-3.5-turbo
62,0,gpt-3.5-turbo
64,1,gpt-3.5-turbo
65,1,gpt-3.5-turbo
67,1,gpt-3.5-turbo
68,0,gpt-3.5-turbo
70,0,gpt-3.5-turbo
71,1,gpt-3.5-turbo
72,0,gpt-3.5-turbo
73,0,gpt-3.5-turbo
75,1,gpt-3.5-turbo
76,0,gpt-3.5-turbo
77,1,gpt-3.5-turbo
78,1,gpt-3.5-turbo
79,0,gpt-3.5-turbo
80,0,gpt-3.5-turbo
81,0,gpt-3.5-turbo
83,3,gpt-3.5-turbo
84,0,gpt-3.5-turbo
86,0,gpt-3.5-turbo
213,1,gpt-3.5-turbo
214,0,gpt-3.5-turbo
215,1,gpt-3.5-turbo
219,0,gpt-3.5-turbo
220,1,gpt-3.5-turbo
221,0,gpt-3.5-turbo
224,1,gpt-3.5-turbo
226,1,gpt-3.5-turbo
227,0,gpt-3.5-turbo
229,1,gpt-3.5-turbo
230,1,gpt-3.5-turbo
231,0,gpt-3.5-turbo
232,0,gpt-3.5-turbo
233,0,gpt-3.5-turbo
234,0,gpt-3.5-turbo
235,0,gpt-3.5-turbo
241,0,gpt-3.5-turbo
242,0,gpt-3.5-turbo
248,0,gpt-3.5-turbo
249,3,gpt-3.5-turbo
250,0,gpt-3.5-turbo
255,0,gpt-3.5-turbo
256,0,gpt-3.5-turbo
259,0,gpt-3.5-turbo
260,1,gpt-3.5-turbo
262,1,gpt-3.5-turbo
263,1,gpt-3.5-turbo
264,1,gpt-3.5-turbo
266,1,gpt-3.5-turbo
267,1,gpt-3.5-turbo
268,0,gpt-3.5-turbo
269,0,gpt-3.5-turbo
281,0,gpt-3.5-turbo
282,0,gpt-3.5-turbo
286,0,gpt-3.5-turbo
290,0,gpt-3.5-turbo
291,0,gpt-3.5-turbo
370,1,gpt-3.5-turbo
380,1,gpt-3.5-turbo
381,0,gpt-3.5-turbo
386,0,gpt-3.5-turbo
390,0,gpt-3.5-turbo
392,0,gpt-3.5-turbo
395,2,gpt-3.5-turbo
396,1,gpt-3.5-turbo
401,3,gpt-3.5-turbo
404,1,gpt-3.5-turbo
405,0,gpt-3.5-turbo
406,7,gpt-3.5-turbo
410,1,gpt-3.5-turbo
412,0,gpt-3.5-turbo
413,0,gpt-3.5-turbo
420,0,gpt-3.5-turbo
423,0,gpt-3.5-turbo
424,1,gpt-3.5-turbo
427,1,gpt-3.5-turbo
430,0,gpt-3.5-turbo
431,0,gpt-3.5-turbo
433,2,gpt-3.5-turbo
443,2,gpt-3.5-turbo
444,1,gpt-3.5-turbo
445,1,gpt-3.5-turbo
451,1,gpt-3.5-turbo
460,1,gpt-3.5-turbo
462,0,gpt-3.5-turbo
465,0,gpt-3.5-turbo
