,task_id,pass_5
0,5,1
1,6,1
2,8,1
3,9,1
4,11,1
5,12,1
6,13,1
7,17,1
8,18,1
9,19,1
10,20,1
11,21,0.976190476
12,22,0.996031746
13,23,1
14,24,0
15,25,0
16,26,1
17,27,0
18,31,1
19,35,0.916666667
20,36,1
21,37,0
22,41,1
23,42,0.976190476
24,43,1
25,44,1
26,45,1
27,46,1
28,47,1
29,51,0
30,52,1
31,54,0
32,55,1
33,56,1
34,57,0
35,58,0
36,59,0
37,60,0
38,62,0
39,64,0
40,65,1
41,67,0
42,68,0
43,71,0
44,72,0
45,73,1
46,74,1
47,75,1
48,76,1
49,77,0
50,78,0
51,79,0
52,80,0
53,81,1
54,83,1
55,84,1
56,86,1
57,214,0
58,215,0
59,219,1
60,220,1
61,224,1
62,226,0
63,227,1
64,229,1
65,230,0
66,231,1
67,232,0
68,233,1
69,234,0
70,235,1
71,240,1
72,241,1
73,242,1
74,248,0
75,249,0
76,250,0
77,253,0
78,255,0
79,256,1
80,258,0
81,259,1
82,260,1
83,262,1
84,263,1
85,264,1
86,266,1
87,267,0
88,268,1
89,269,0
90,281,1
91,282,1
92,286,1
93,366,0
94,369,0
95,370,0
96,380,0
97,381,0
98,386,0
99,390,0
100,392,0
101,395,1
102,396,1
103,401,1
104,404,1
105,405,1
106,406,0
107,410,1
108,413,0
109,414,0
110,420,1
111,423,0
112,424,1
113,427,0
114,430,1
115,431,0
116,433,0
117,442,1
118,443,0
119,444,0
120,445,0
121,451,0
122,460,1
123,462,1
124,465,0
125,468,1
126,469,1
127,470,1
128,471,1
129,474,1
130,475,1
131,476,0
132,482,0
133,483,1
134,485,0
135,486,0
136,487,1
137,488,1
138,490,1
139,492,1
140,493,0
141,494,1
142,495,0
143,496,1
144,498,1
145,499,1
146,500,0
147,501,1
148,505,0
149,506,0
150,507,1
151,509,0
152,510,1
153,511,0
154,512,0
155,513,1
156,514,0
157,515,1
158,516,1
159,517,1
160,518,1
161,519,1
162,520,0
163,521,0.916666667
164,522,1
165,523,1
166,524,1
167,525,0.996031746
168,526,1
169,527,1
170,552,0
171,555,1
172,557,0
173,558,0
174,87,0
175,88,0
176,89,1
177,92,0
178,93,0
179,95,1
180,96,0
181,97,1
182,99,1
183,100,0
184,101,0
185,103,0
186,106,0
187,107,0
188,108,1
189,109,1
190,110,1
191,112,0
192,113,0
193,114,1
194,115,1
195,116,0
196,117,1
197,118,1
198,119,1
199,120,0
200,121,1
201,122,1
202,123,0
203,124,1
204,125,0
205,127,0
206,129,0
207,130,0
208,133,0
209,134,0
210,135,1
211,137,1
212,138,1
213,139,0
214,292,0
215,293,0
216,298,0
217,299,0
218,300,0
219,305,0
220,306,0
221,308,1
222,313,0
223,315,1
224,317,1
225,318,1
226,319,1
227,320,1
228,322,1
229,323,1
230,326,0
231,447,0
232,449,1
233,450,1
234,528,0
235,529,1
236,530,1
237,532,1
238,533,1
239,534,1
240,535,1
241,536,1
242,537,1
243,540,1
244,541,1
245,542,1
246,543,1
247,544,1
248,545,1
249,559,0
250,560,1
251,140,0
252,141,0
253,142,0
254,143,1
255,144,1
256,145,0
257,146,1
258,147,0
259,148,1
260,150,1
261,151,0
262,152,0
263,153,0
264,154,0
265,155,1
266,156,1
267,157,0
268,158,1
269,159,1
270,160,0
271,161,1
272,162,1
273,163,1
274,164,1
275,165,1
276,166,1
277,167,1
278,168,1
279,169,1
280,331,1
281,334,0
282,341,0
283,342,0
284,343,0
285,565,1
286,566,1
287,567,0
288,569,1
289,570,0
290,571,0
291,572,0
292,575,1
293,576,0
294,577,1
295,578,0
296,581,0
297,582,1
298,583,0
299,584,0
300,585,0
301,586,0
302,170,0
303,173,0
304,174,0
305,176,0
306,177,1
307,178,0
308,179,0
309,180,1
310,181,1
311,348,1
312,349,1
313,350,1
314,352,1
315,609,1
316,611,1
317,612,0
318,614,1
319,615,1
320,616,0
321,625,0
322,626,0
323,628,0
324,630,1
325,631,0
326,632,0
327,633,0
328,183,0
329,184,0
330,187,1
331,188,0
332,189,1
333,190,0
334,191,1
335,196,0
336,197,1
337,198,1
338,200,0
339,202,1
340,203,0
341,204,1
342,205,1
343,206,1
344,207,1
345,209,1
346,210,1
347,354,1
348,355,1
349,356,1
350,357,1
351,358,1
352,365,1
353,481,1
354,589,1
355,590,0
356,592,1
357,594,1
358,595,1
359,597,1
360,598,1
361,599,1
362,601,1
363,603,1
364,604,1
365,605,1
366,606,1
