,task_id,result_return_code,model
0,100,1,starcoder2-7b
1,101,0,starcoder2-7b
2,103,1,starcoder2-7b
3,106,1,starcoder2-7b
4,107,0,starcoder2-7b
5,108,1,starcoder2-7b
6,109,0,starcoder2-7b
7,110,1,starcoder2-7b
8,112,1,starcoder2-7b
9,114,1,starcoder2-7b
10,115,0,starcoder2-7b
11,116,1,starcoder2-7b
12,117,1,starcoder2-7b
13,118,1,starcoder2-7b
14,11,0,starcoder2-7b
15,120,0,starcoder2-7b
16,121,0,starcoder2-7b
17,122,1,starcoder2-7b
18,123,1,starcoder2-7b
19,124,0,starcoder2-7b
20,125,1,starcoder2-7b
21,127,1,starcoder2-7b
22,129,0,starcoder2-7b
23,12,0,starcoder2-7b
24,130,1,starcoder2-7b
25,133,1,starcoder2-7b
26,134,1,starcoder2-7b
27,135,0,starcoder2-7b
28,138,0,starcoder2-7b
29,139,1,starcoder2-7b
30,13,1,starcoder2-7b
31,140,1,starcoder2-7b
32,142,0,starcoder2-7b
33,143,0,starcoder2-7b
34,144,0,starcoder2-7b
35,145,1,starcoder2-7b
36,146,1,starcoder2-7b
37,149,1,starcoder2-7b
38,150,1,starcoder2-7b
39,151,1,starcoder2-7b
40,153,1,starcoder2-7b
41,154,1,starcoder2-7b
42,155,1,starcoder2-7b
43,156,0,starcoder2-7b
44,157,0,starcoder2-7b
45,158,0,starcoder2-7b
46,159,0,starcoder2-7b
47,161,0,starcoder2-7b
48,162,0,starcoder2-7b
49,165,1,starcoder2-7b
50,166,0,starcoder2-7b
51,167,0,starcoder2-7b
52,168,1,starcoder2-7b
53,169,0,starcoder2-7b
54,170,1,starcoder2-7b
55,173,0,starcoder2-7b
56,174,1,starcoder2-7b
57,175,1,starcoder2-7b
58,176,1,starcoder2-7b
59,177,0,starcoder2-7b
60,178,1,starcoder2-7b
61,179,1,starcoder2-7b
62,17,1,starcoder2-7b
63,180,1,starcoder2-7b
64,181,0,starcoder2-7b
65,182,1,starcoder2-7b
66,183,1,starcoder2-7b
67,184,1,starcoder2-7b
68,187,0,starcoder2-7b
69,188,0,starcoder2-7b
70,189,0,starcoder2-7b
71,18,0,starcoder2-7b
72,190,1,starcoder2-7b
73,191,1,starcoder2-7b
74,192,1,starcoder2-7b
75,193,1,starcoder2-7b
76,195,1,starcoder2-7b
77,196,1,starcoder2-7b
78,197,0,starcoder2-7b
79,198,0,starcoder2-7b
80,19,1,starcoder2-7b
81,1,0,starcoder2-7b
82,200,1,starcoder2-7b
83,202,1,starcoder2-7b
84,203,1,starcoder2-7b
85,204,0,starcoder2-7b
86,205,0,starcoder2-7b
87,206,1,starcoder2-7b
88,207,0,starcoder2-7b
89,208,1,starcoder2-7b
90,209,1,starcoder2-7b
91,20,1,starcoder2-7b
92,210,1,starcoder2-7b
93,213,0,starcoder2-7b
94,214,1,starcoder2-7b
95,215,0,starcoder2-7b
96,216,1,starcoder2-7b
97,219,0,starcoder2-7b
98,21,1,starcoder2-7b
99,220,0,starcoder2-7b
100,221,1,starcoder2-7b
101,224,0,starcoder2-7b
102,226,0,starcoder2-7b
103,227,1,starcoder2-7b
104,229,1,starcoder2-7b
105,22,1,starcoder2-7b
106,230,0,starcoder2-7b
107,231,0,starcoder2-7b
108,232,1,starcoder2-7b
109,233,0,starcoder2-7b
110,234,0,starcoder2-7b
111,235,0,starcoder2-7b
112,23,1,starcoder2-7b
113,240,0,starcoder2-7b
114,241,1,starcoder2-7b
115,242,1,starcoder2-7b
116,244,1,starcoder2-7b
117,248,0,starcoder2-7b
118,249,1,starcoder2-7b
119,24,1,starcoder2-7b
120,250,1,starcoder2-7b
121,252,1,starcoder2-7b
122,253,1,starcoder2-7b
123,255,0,starcoder2-7b
124,256,1,starcoder2-7b
125,258,1,starcoder2-7b
126,259,0,starcoder2-7b
127,25,1,starcoder2-7b
128,260,1,starcoder2-7b
129,262,0,starcoder2-7b
130,263,0,starcoder2-7b
131,264,1,starcoder2-7b
132,266,1,starcoder2-7b
133,267,1,starcoder2-7b
134,268,0,starcoder2-7b
135,269,0,starcoder2-7b
136,26,0,starcoder2-7b
137,27,0,starcoder2-7b
138,281,0,starcoder2-7b
139,282,0,starcoder2-7b
140,286,1,starcoder2-7b
141,28,1,starcoder2-7b
142,290,1,starcoder2-7b
143,291,0,starcoder2-7b
144,292,1,starcoder2-7b
145,293,1,starcoder2-7b
146,298,1,starcoder2-7b
147,299,1,starcoder2-7b
148,305,0,starcoder2-7b
149,306,0,starcoder2-7b
150,308,0,starcoder2-7b
151,313,1,starcoder2-7b
152,315,0,starcoder2-7b
153,317,1,starcoder2-7b
154,318,0,starcoder2-7b
155,319,0,starcoder2-7b
156,31,1,starcoder2-7b
157,320,1,starcoder2-7b
158,322,0,starcoder2-7b
159,323,0,starcoder2-7b
160,326,1,starcoder2-7b
161,331,0,starcoder2-7b
162,334,1,starcoder2-7b
163,33,0,starcoder2-7b
164,341,0,starcoder2-7b
165,342,1,starcoder2-7b
166,348,1,starcoder2-7b
167,349,1,starcoder2-7b
168,350,0,starcoder2-7b
169,351,0,starcoder2-7b
170,352,1,starcoder2-7b
171,354,0,starcoder2-7b
172,355,0,starcoder2-7b
173,356,0,starcoder2-7b
174,357,0,starcoder2-7b
175,358,0,starcoder2-7b
176,359,1,starcoder2-7b
177,35,1,starcoder2-7b
178,360,1,starcoder2-7b
179,361,1,starcoder2-7b
180,365,1,starcoder2-7b
181,366,0,starcoder2-7b
182,369,1,starcoder2-7b
183,36,0,starcoder2-7b
184,370,1,starcoder2-7b
185,37,1,starcoder2-7b
186,380,0,starcoder2-7b
187,381,1,starcoder2-7b
188,386,0,starcoder2-7b
189,390,1,starcoder2-7b
190,392,0,starcoder2-7b
191,395,1,starcoder2-7b
192,396,0,starcoder2-7b
193,398,1,starcoder2-7b
194,401,0,starcoder2-7b
195,404,0,starcoder2-7b
196,405,0,starcoder2-7b
197,406,1,starcoder2-7b
198,410,1,starcoder2-7b
199,413,1,starcoder2-7b
200,414,1,starcoder2-7b
201,41,0,starcoder2-7b
202,420,1,starcoder2-7b
203,423,0,starcoder2-7b
204,424,0,starcoder2-7b
205,427,1,starcoder2-7b
206,428,1,starcoder2-7b
207,42,1,starcoder2-7b
208,430,0,starcoder2-7b
209,431,0,starcoder2-7b
210,433,1,starcoder2-7b
211,438,0,starcoder2-7b
212,43,1,starcoder2-7b
213,442,0,starcoder2-7b
214,443,1,starcoder2-7b
215,444,1,starcoder2-7b
216,445,0,starcoder2-7b
217,447,0,starcoder2-7b
218,44,1,starcoder2-7b
219,450,0,starcoder2-7b
220,451,0,starcoder2-7b
221,45,1,starcoder2-7b
222,460,0,starcoder2-7b
223,461,0,starcoder2-7b
224,462,0,starcoder2-7b
225,463,0,starcoder2-7b
226,465,0,starcoder2-7b
227,468,0,starcoder2-7b
228,469,1,starcoder2-7b
229,46,1,starcoder2-7b
230,470,1,starcoder2-7b
231,471,0,starcoder2-7b
232,474,1,starcoder2-7b
233,475,1,starcoder2-7b
234,476,1,starcoder2-7b
235,477,1,starcoder2-7b
236,478,0,starcoder2-7b
237,47,1,starcoder2-7b
238,481,1,starcoder2-7b
239,482,1,starcoder2-7b
240,483,1,starcoder2-7b
241,485,1,starcoder2-7b
242,486,0,starcoder2-7b
243,487,0,starcoder2-7b
244,488,1,starcoder2-7b
245,490,1,starcoder2-7b
246,491,1,starcoder2-7b
247,492,1,starcoder2-7b
248,493,1,starcoder2-7b
249,494,1,starcoder2-7b
250,495,0,starcoder2-7b
251,496,0,starcoder2-7b
252,498,0,starcoder2-7b
253,499,1,starcoder2-7b
254,500,1,starcoder2-7b
255,501,0,starcoder2-7b
256,505,1,starcoder2-7b
257,507,0,starcoder2-7b
258,509,0,starcoder2-7b
259,510,0,starcoder2-7b
260,511,0,starcoder2-7b
261,512,1,starcoder2-7b
262,513,0,starcoder2-7b
263,514,0,starcoder2-7b
264,515,0,starcoder2-7b
265,516,0,starcoder2-7b
266,517,0,starcoder2-7b
267,518,1,starcoder2-7b
268,519,0,starcoder2-7b
269,51,1,starcoder2-7b
270,520,0,starcoder2-7b
271,521,1,starcoder2-7b
272,522,0,starcoder2-7b
273,523,0,starcoder2-7b
274,524,0,starcoder2-7b
275,525,1,starcoder2-7b
276,526,0,starcoder2-7b
277,527,1,starcoder2-7b
278,528,1,starcoder2-7b
279,529,1,starcoder2-7b
280,52,0,starcoder2-7b
281,530,0,starcoder2-7b
282,532,0,starcoder2-7b
283,533,0,starcoder2-7b
284,534,1,starcoder2-7b
285,535,1,starcoder2-7b
286,536,1,starcoder2-7b
287,537,1,starcoder2-7b
288,53,0,starcoder2-7b
289,540,1,starcoder2-7b
290,541,1,starcoder2-7b
291,542,0,starcoder2-7b
292,543,0,starcoder2-7b
293,544,0,starcoder2-7b
294,545,0,starcoder2-7b
295,546,0,starcoder2-7b
296,547,0,starcoder2-7b
297,548,0,starcoder2-7b
298,549,1,starcoder2-7b
299,54,1,starcoder2-7b
300,550,0,starcoder2-7b
301,551,0,starcoder2-7b
302,552,1,starcoder2-7b
303,555,1,starcoder2-7b
304,557,0,starcoder2-7b
305,558,0,starcoder2-7b
306,559,0,starcoder2-7b
307,55,1,starcoder2-7b
308,560,0,starcoder2-7b
309,565,0,starcoder2-7b
310,566,1,starcoder2-7b
311,567,1,starcoder2-7b
312,569,1,starcoder2-7b
313,56,0,starcoder2-7b
314,571,1,starcoder2-7b
315,575,0,starcoder2-7b
316,576,0,starcoder2-7b
317,577,0,starcoder2-7b
318,578,0,starcoder2-7b
319,57,1,starcoder2-7b
320,581,1,starcoder2-7b
321,582,1,starcoder2-7b
322,583,1,starcoder2-7b
323,584,1,starcoder2-7b
324,585,1,starcoder2-7b
325,586,1,starcoder2-7b
326,589,0,starcoder2-7b
327,58,0,starcoder2-7b
328,590,1,starcoder2-7b
329,592,1,starcoder2-7b
330,594,0,starcoder2-7b
331,595,0,starcoder2-7b
332,597,0,starcoder2-7b
333,598,1,starcoder2-7b
334,599,1,starcoder2-7b
335,59,1,starcoder2-7b
336,5,0,starcoder2-7b
337,601,1,starcoder2-7b
338,603,0,starcoder2-7b
339,604,0,starcoder2-7b
340,605,1,starcoder2-7b
341,606,0,starcoder2-7b
342,608,1,starcoder2-7b
343,609,0,starcoder2-7b
344,60,1,starcoder2-7b
345,611,0,starcoder2-7b
346,612,0,starcoder2-7b
347,614,0,starcoder2-7b
348,615,0,starcoder2-7b
349,616,1,starcoder2-7b
350,617,1,starcoder2-7b
351,625,0,starcoder2-7b
352,626,0,starcoder2-7b
353,628,1,starcoder2-7b
354,62,0,starcoder2-7b
355,630,0,starcoder2-7b
356,631,0,starcoder2-7b
357,632,1,starcoder2-7b
358,633,0,starcoder2-7b
359,63,1,starcoder2-7b
360,64,1,starcoder2-7b
361,65,0,starcoder2-7b
362,67,1,starcoder2-7b
363,68,0,starcoder2-7b
364,6,1,starcoder2-7b
365,70,1,starcoder2-7b
366,71,1,starcoder2-7b
367,72,0,starcoder2-7b
368,73,0,starcoder2-7b
369,74,1,starcoder2-7b
370,75,1,starcoder2-7b
371,76,0,starcoder2-7b
372,77,1,starcoder2-7b
373,78,0,starcoder2-7b
374,79,1,starcoder2-7b
375,80,1,starcoder2-7b
376,81,0,starcoder2-7b
377,82,1,starcoder2-7b
378,83,0,starcoder2-7b
379,84,1,starcoder2-7b
380,85,1,starcoder2-7b
381,86,1,starcoder2-7b
382,87,1,starcoder2-7b
383,88,1,starcoder2-7b
384,89,0,starcoder2-7b
385,8,1,starcoder2-7b
386,92,0,starcoder2-7b
387,93,0,starcoder2-7b
388,95,0,starcoder2-7b
389,96,1,starcoder2-7b
390,97,0,starcoder2-7b
391,99,0,starcoder2-7b
392,9,0,starcoder2-7b
